Date,Close,High,Low,Open,Volume
2017-01-03,26.796833038330078,26.838360701363033,26.476147880530135,26.716085293590673,115127600
2017-01-04,26.7668399810791,26.879888584810086,26.7045493661033,26.72761989905105,84472400
2017-01-05,26.90296173095703,26.96063894901325,26.71839392910952,26.74377204586778,88774400
2017-01-06,27.202882766723633,27.26055998223089,26.870661442147778,26.942180626122717,127007600
2017-01-09,27.452049255371094,27.553561726257907,27.20980598643994,27.21211180792804,134247600
2017-01-10,27.47972869873047,27.542019307940556,27.29285511093153,27.401286781766224,97848400
2017-01-11,27.62738800048828,27.668915668724587,27.362072440099055,27.394371542041842,110354400
2017-01-12,27.512035369873047,27.52357151854024,27.272097910982577,27.43128760971019,108344800
2017-01-13,27.463586807250977,27.59739838750154,27.41052298743811,27.479736359338517,104447600
2017-01-17,27.68506622314453,27.740435862743468,27.274404689128275,27.302088628843194,137759200
2017-01-18,27.68275260925293,27.800414607909584,27.61815441710221,27.685060190449377,94852000
2017-01-19,27.634305953979492,27.70582513469806,27.53971624014224,27.546637224060962,102389200
2017-01-20,27.68506622314453,27.788884517413678,27.62277559861686,27.788884517413678,130391600
2017-01-23,27.703516006469727,27.871932462283795,27.63199507411993,27.685058878110514,88200800
2017-01-24,27.678144454956055,27.70813597552152,27.56971100035689,27.581247148357715,92844000
2017-01-25,28.118791580200195,28.169547804451483,27.74965780405722,27.78195689945919,129510400
2017-01-26,28.132638931274414,28.24799336119085,28.054197003643402,28.070346553424947,105350400
2017-01-27,28.134939193725586,28.227223071459317,28.054191460771783,28.178774431687035,82251600
2017-01-30,28.06112289428711,28.06112289428711,27.837336739662195,27.89962736823424,121510000
2017-01-31,27.996519088745117,28.00574765412798,27.828102610972287,27.95037802199968,196804000
2017-02-01,29.703767776489258,30.105202487935948,29.30233482521161,29.306948228255912,447940000
2017-02-02,29.653011322021484,29.851421094665223,29.4799796663556,29.526122497301248,134841600
2017-02-03,29.7799015045166,29.805279621151534,29.56764976554168,29.602254688072048,98029200
2017-02-06,30.059062957763672,30.107513378816527,29.738377707032736,29.79144329207602,107383600
2017-02-07,30.34514045715332,30.47433687416009,30.095974429923828,30.116737385441702,152735200
2017-02-08,30.462799072265625,30.504328501385984,30.273619620583087,30.30361290159567,92016400
2017-02-09,30.682920455932617,30.689871446505556,30.38169790057006,30.50450344815933,113399600
2017-02-10,30.613412857055664,30.803416063912067,30.59719505449053,30.692196657918732,80262000
2017-02-13,30.884517669677734,31.007326798261776,30.75939625751535,30.835860717681953,92141600
2017-02-14,31.285356521606445,31.301574316387672,30.87523051837389,30.926206791571133,132904800
2017-02-15,31.398889541625977,31.57499066810202,31.19266864530474,31.40120889472123,142492400
2017-02-16,31.36182975769043,31.489266940949232,31.243655847657074,31.43597483509916,90338400
2017-02-17,31.44756317138672,31.473051316920234,31.30390464325276,31.30390464325276,88792800
2017-02-21,31.674638748168945,31.68622491229545,31.507807884429813,31.565735169461433,98028800
2017-02-22,31.769638061523438,31.77195387994199,31.537928938045212,31.612074019045913,83347600
2017-02-23,31.63525390625,31.85537691904213,31.581961785081724,31.8322081225175,83152800
2017-02-24,31.665372848510742,31.665372848510742,31.34561309455181,31.49159098842019,87106400
2017-02-27,31.72793197631836,31.846105904723675,31.57732244417949,31.776592453120728,81029600
2017-02-28,31.74184226989746,31.84611069518599,31.67464462685268,31.762695247834856,93931600
2017-03-01,32.390621185302734,32.47403662243283,31.883181106329225,31.95037520553905,145658400
2017-03-02,32.19830322265625,32.5041574448838,32.151958566790725,32.43927916939308,104844000
2017-03-03,32.3882942199707,32.39988038084044,32.11255985503052,32.15658514497558,84432400
2017-03-06,32.28634262084961,32.38597936457074,32.11488016304117,32.29329361045806,87000000
2017-03-07,32.32805633544922,32.43464054716233,32.15890613785156,32.221468588135636,69785200
2017-03-08,32.20756530761719,32.39293329708325,32.16585936617749,32.1959791453505,74828800
2017-03-09,32.13343811035156,32.158926270082695,31.755754425102715,32.147343635698014,88623600
2017-03-10,32.24000930786133,32.29098560105037,32.12415473890458,32.26549745445585,78451200
2017-03-13,32.253910064697266,32.30720217442387,32.16586299984476,32.17281399086994,69686800
2017-03-14,32.20524597167969,32.35817127585512,32.17048748867623,32.277075220046925,61236400
2017-03-15,32.54587173461914,32.61306583858644,32.214525781369815,32.302576397797154,102767200
2017-03-16,32.59914779663086,32.675612209716576,32.499511063604146,32.60609878549323,76928000
2017-03-17,32.43696594238281,32.67099091655735,32.4137936125987,32.67099091655735,175540000
2017-03-20,32.77756881713867,32.78683562490218,32.49256409610995,32.53195421640496,86168000
2017-03-21,32.402191162109375,33.088051473147324,32.37670302639784,32.92817167055676,158119600
2017-03-22,32.768314361572266,32.81002385573115,32.38367624429285,32.404532759173186,103440800
2017-03-23,32.6524543762207,32.80538327023991,32.58062510237565,32.731234642011984,81385200
2017-03-24,32.58756637573242,32.84244778975115,32.5203722950912,32.786836335165205,89582400
2017-03-27,32.643184661865234,32.721964920648965,32.11951974448904,32.29793677164116,94300400
2017-03-28,33.319766998291016,33.37537491568697,32.582930272394265,32.65012788671443,133499200
2017-03-29,33.3939094543457,33.47964421295767,33.17842172009348,33.291956899628616,116760000
2017-03-30,33.34988784790039,33.481963727164825,33.25025463562735,33.41013447448423,84829200
2017-03-31,33.28734588623047,33.428688645453434,33.13673277869015,33.301247873104536,78646800
2017-04-03,33.296600341796875,33.39391774940054,33.14599082575323,33.29891969581642,79942800
